117A  -110.739300 +32.571600
118A  -109.969700 +32.639900
119A  -109.302900 +32.766300
120A  -108.633000 +32.546600
121A  -107.785100 +32.532400
122A  -107.000500 +32.699500
123A  -106.262200 +32.634900
124A  -105.454400 +32.700100
125A  -104.657300 +32.658800
126A  -104.020400 +32.646200
127A  -103.357500 +32.676400
128A  -102.485000 +32.621300
129A  -101.866200 +32.630900
130A  -100.965200 +32.596100
131A  -100.388800 +32.673700
217A  -110.816200 +31.774800
218A  -110.046400 +31.973700
219A  -109.259200 +31.998900
220A  -108.526600 +31.904100
221A  -107.778200 +32.009400
222A  -107.101300 +32.104600
223A  -106.427600 +32.006200
224A  -105.522600 +32.076000
225A  -104.822900 +32.110100
226A  -104.101400 +32.061800
226B  -104.165400 +32.077800
227A  -103.292400 +32.012000
228A  -102.591800 +32.118000
229A  -101.810700 +31.967100
230A  -101.112400 +31.887800
231A  -100.316300 +31.935300
318A  -109.990700 +31.439000
319A  -109.280900 +31.375700
320A  -108.528400 +31.336900
324A  -105.482800 +31.442500
325A  -104.971200 +31.371100
326A  -103.978600 +31.316500
327A  -103.492300 +31.369100
328A  -102.809700 +31.381800
329A  -101.980800 +31.487000
330A  -101.175200 +31.406300
331A  -100.426600 +31.308500
425A  -104.985700 +30.786200
426A  -104.029300 +30.668900
427A  -103.401800 +30.849800
428A  -102.684700 +30.726300
429A  -101.893800 +30.624800
430A  -101.236200 +30.786600
431A  -100.607900 +30.682400
526A  -104.089800 +30.060900
527A  -103.611900 +30.145600
528A  -102.788000 +30.161500
529A  -102.220400 +30.124600
530A  -101.337900 +30.148900
531A  -100.546400 +30.164500
626A  -104.133500 +29.554000
627A  -103.388700 +29.452800
628A  -102.888500 +29.486200
631A  -100.575900 +29.412300
K17A  -110.920100 +42.750700
K18A  -110.041700 +42.637200
K19A  -108.846600 +42.824700
K20A  -108.341800 +42.657900
K21A  -107.251000 +42.633200
K22A  -106.524000 +42.650700
K23A  -105.625100 +42.754600
K24A  -104.815200 +42.722500
K25A  -103.870500 +42.612000
K26A  -103.178300 +42.701600
K27A  -102.236400 +42.703600
K28A  -101.366500 +42.713600
K29A  -100.318200 +42.761200
KSCO  -102.627300 +39.011200
L17A  -110.872700 +42.099500
L18A  -110.036400 +41.924300
L19A  -109.357500 +42.101200
L20A  -108.339800 +42.007300
L21A  -107.369500 +41.964100
L22A  -106.433800 +42.031000
L23A  -105.701200 +42.114300
L24A  -104.932600 +42.043200
L25A  -103.965700 +42.154800
L26A  -103.079500 +42.036700
L27A  -102.315400 +42.083700
L28A  -101.519600 +42.007300
L29A  -100.477900 +42.064100
M17A  -110.666400 +41.472900
M18A  -110.067400 +41.427200
M19A  -109.156900 +41.504700
M20A  -108.186500 +41.490600
M21A  -107.363500 +41.606700
M22A  -106.595800 +41.403300
M23A  -105.722100 +41.468000
M24A  -104.824800 +41.467600
M25A  -104.055100 +41.434700
M26A  -103.142700 +41.466100
M27A  -102.387200 +41.528100
M28A  -101.371500 +41.395600
M29A  -100.689200 +41.444100
MSTX  -102.772400 +33.969600
N17A  -110.833500 +40.942500
N18A  -109.673100 +40.976300
N19A  -109.177200 +40.893600
N20A  -108.262600 +40.833800
N21A  -107.519600 +40.760000
N22A  -106.454400 +40.802300
N23A  -105.944000 +40.894700
N24A  -104.882400 +40.827100
N25A  -104.087300 +40.813200
N26A  -103.222100 +40.828900
N27A  -102.536700 +40.806300
N28A  -101.540600 +40.687300
N29A  -100.626400 +40.818900
N30A  -100.100100 +40.795700
O17A  -110.737800 +40.194800
O18A  -110.008200 +40.265500
O19A  -109.123600 +40.298200
O20A  -108.241600 +40.134800
O21A  -107.470500 +40.214900
O22A  -106.547000 +40.161800
O23A  -105.917800 +40.210900
O24A  -105.072900 +40.122700
O25A  -104.120100 +40.112900
O26A  -103.312800 +40.242200
O27A  -102.479400 +40.190000
O28A  -101.773500 +40.126200
O29A  -100.797700 +40.125300
O30A  -100.057100 +40.179100
P17A  -110.740000 +39.473000
P18A  -110.245700 +39.627900
P19A  -108.981200 +39.633300
P20A  -108.391200 +39.499800
P21A  -107.449300 +39.524000
P22A  -106.758900 +39.595200
P23A  -105.838800 +39.374100
P24A  -104.908200 +39.514400
P25A  -104.168000 +39.512500
P26A  -103.346500 +39.560200
P27A  -102.578200 +39.555900
P28A  -101.754800 +39.573200
