SC04  -105.811900 +34.522800
SC05  -105.055400 +34.571500
SC06  -104.266400 +34.514500
SC07  -105.687700 +34.183800
SC08  -105.469700 +34.156700
SC09  -105.001300 +34.151700
SC10  -104.666600 +34.193700
SC11  -104.295900 +34.232300
SC12  -103.911600 +34.214800
SC13  -103.526900 +34.213500
SC14  -105.769500 +33.968200
SC15  -105.025500 +33.830800
SC16  -104.304300 +33.890300
SC17  -103.544600 +33.893000
SC18  -102.840900 +33.877400
SC19  -105.974400 +33.518800
SC20  -105.593500 +33.604200
SC21  -105.165500 +33.597500
SC22  -104.754200 +33.568200
SC23  -104.328200 +33.599500
SC25  -103.548200 +33.580600
SC26  -103.118400 +33.504400
SC27  -102.820700 +33.538500
SC28  -102.491500 +33.566200
SC29  -105.670500 +33.310200
SC30  -105.170000 +33.273800
SC31  -104.341500 +33.259000
SC32  -103.597900 +33.193900
SC33  -102.834300 +33.233400
SC34  -105.816300 +32.951300
SC35  -105.515300 +32.936900
SC36  -105.180000 +33.005300
SC37  -104.619200 +32.937000
SC38  -104.340200 +32.928800
SC39  -103.845300 +33.028600
SC40  -103.540000 +32.931700
SC41  -103.205600 +32.983300
SC42  -102.861200 +32.872800
SC43  -102.536900 +32.942600
SC44  -105.947000 +32.757200
SC45  -105.155200 +32.633700
SC46  -104.361400 +32.654000
SC47  -103.625700 +32.629000
SC48  -102.905000 +32.689900
SC49  -106.064000 +32.443000
SC50  -105.615300 +32.389500
SC51  -105.171800 +32.367300
SC52  -104.827200 +32.488000
SC53  -104.319200 +32.376600
SC54  -104.039800 +32.283700
SC55  -103.673300 +32.171200
SC56  -103.398600 +32.355400
SC57  -102.851300 +32.369100
SC58  -102.548200 +32.288800
SC59  -105.148100 +31.969400
SC60  -104.487700 +32.093700
SC61  -103.691100 +31.989500
SC62  -102.937300 +32.011900
SC63  -104.846400 +31.802900
SC64  -104.425800 +31.699600
SC65  -104.017800 +31.727000
SC66  -103.736300 +31.667900
SC67  -103.395100 +31.705100
SC68  -102.770000 +31.802700
SC69  -102.588000 +31.690500
SC70  -103.737400 +31.366300
SC71  -103.065500 +31.646300
SC72  -103.634600 +31.109600
SC73  -102.987500 +30.961100
SC74  -102.677100 +31.002400
SC75  -105.952000 +31.874200

