SC04  -105.811900 +34.522800
SC05  -105.055400 +34.571500
SC06  -104.266400 +34.514500
SC07  -105.687700 +34.183800
SC08  -105.469700 +34.156700
SC09  -105.001300 +34.151700
SC10  -104.666600 +34.193700
SC11  -104.295900 +34.232300
SC12  -103.911600 +34.214800
SC13  -103.526900 +34.213500
SC14  -105.769500 +33.968200
SC15  -105.025500 +33.830800
SC16  -104.304300 +33.890300
SC17  -103.544600 +33.893000
SC18  -102.840900 +33.877400
SC19  -105.974400 +33.518800
SC20  -105.593500 +33.604200
SC21  -105.165500 +33.597500
SC22  -104.754200 +33.568200
SC23  -104.328200 +33.599500
SC25  -103.548200 +33.580600
SC26  -103.118400 +33.504400
SC27  -102.820700 +33.538500
SC28  -102.491500 +33.566200
SC29  -105.670500 +33.310200
SC30  -105.170000 +33.273800
SC31  -104.341500 +33.259000
SC32  -103.597900 +33.193900
SC33  -102.834300 +33.233400
SC34  -105.816300 +32.951300
SC35  -105.515300 +32.936900
SC36  -105.180000 +33.005300
SC37  -104.619200 +32.937000
SC38  -104.340200 +32.928800
SC39  -103.845300 +33.028600
SC40  -103.540000 +32.931700
SC41  -103.205600 +32.983300
SC42  -102.861200 +32.872800
SC43  -102.536900 +32.942600
SC44  -105.947000 +32.757200
SC45  -105.155200 +32.633700
SC46  -104.361400 +32.654000
SC47  -103.625700 +32.629000
SC48  -102.905000 +32.689900
SC49  -106.064000 +32.443000
SC50  -105.615300 +32.389500
SC51  -105.171800 +32.367300
SC52  -104.827200 +32.488000
SC53  -104.319200 +32.376600
SC54  -104.039800 +32.283700
SC55  -103.673300 +32.171200
SC56  -103.398600 +32.355400
SC57  -102.851300 +32.369100
SC58  -102.548200 +32.288800
SC59  -105.148100 +31.969400
SC60  -104.487700 +32.093700
SC61  -103.691100 +31.989500
SC62  -102.937300 +32.011900
SC63  -104.846400 +31.802900
SC64  -104.425800 +31.699600
SC65  -104.017800 +31.727000
SC66  -103.736300 +31.667900
SC67  -103.395100 +31.705100
SC68  -102.770000 +31.802700
SC69  -102.588000 +31.690500
SC70  -103.737400 +31.366300
SC71  -103.065500 +31.646300
SC72  -103.634600 +31.109600
SC73  -102.987500 +30.961100
SC74  -102.677100 +31.002400
SC75  -105.952000 +31.874200
120A  -108.633000 +32.546600
121A  -107.785100 +32.532400
122A  -107.000500 +32.699500
123A  -106.262200 +32.634900
124A  -105.454400 +32.700100
125A  -104.657300 +32.658800
126A  -104.020400 +32.646200
127A  -103.357500 +32.676400
128A  -102.485000 +32.621300
129A  -101.866200 +32.630900
130A  -100.965200 +32.596100
131A  -100.388800 +32.673700
220A  -108.526600 +31.904100
221A  -107.778200 +32.009400
222A  -107.101300 +32.104600
223A  -106.427600 +32.006200
224A  -105.522600 +32.076000
225A  -104.822900 +32.110100
226A  -104.101400 +32.061800
226B  -104.165400 +32.077800
227A  -103.292400 +32.012000
228A  -102.591800 +32.118000
229A  -101.810700 +31.967100
230A  -101.112400 +31.887800
231A  -100.316300 +31.935300
232A  -099.646900 +31.888000
320A  -108.528400 +31.336900
324A  -105.482800 +31.442500
325A  -104.971200 +31.371100
326A  -103.978600 +31.316500
327A  -103.492300 +31.369100
328A  -102.809700 +31.381800
329A  -101.980800 +31.487000
330A  -101.175200 +31.406300
331A  -100.426600 +31.308500
332A  -099.742300 +31.382900
425A  -104.985700 +30.786200
426A  -104.029300 +30.668900
427A  -103.401800 +30.849800
428A  -102.684700 +30.726300
429A  -101.893800 +30.624800
430A  -101.236200 +30.786600
431A  -100.607900 +30.682400
432A  -099.793700 +30.875500
433A  -099.091000 +30.754400
526A  -104.089800 +30.060900
527A  -103.611900 +30.145600
528A  -102.788000 +30.161500
529A  -102.220400 +30.124600
530A  -101.337900 +30.148900
531A  -100.546400 +30.164500
532A  -099.904900 +30.127800
533A  -099.035100 +30.071800
626A  -104.133500 +29.554000
627A  -103.388700 +29.452800
628A  -102.888500 +29.486200
631A  -100.575900 +29.412300
632A  -099.786300 +29.507100
633A  -099.176600 +29.459100
732A  -099.970700 +28.729200
733A  -099.293900 +28.719200
832A  -099.974300 +28.284400
833A  -099.393900 +28.323600
ABTX  -099.643100 +32.623800
MSTX  -102.772400 +33.969600
S20A  -108.360500 +37.830000
S21A  -107.791700 +37.662000
S22A  -106.829300 +37.746100
S23A  -106.002300 +37.705900
S24A  -105.212600 +37.640700
S25A  -104.434900 +37.660600
S26A  -103.471100 +37.621600
S27A  -102.898200 +37.683700
S28A  -101.897900 +37.589900
S29A  -101.118000 +37.619900
S30A  -100.464000 +37.640200
S31A  -099.484500 +37.619300
T21A  -107.534200 +36.991400
T22A  -106.903000 +37.013800
T23A  -106.037200 +37.036100
T24A  -105.052100 +37.073800
T24B  -105.381700 +37.062400
T25A  -104.410800 +37.138800
T26A  -103.593300 +37.174700
T27A  -102.721400 +37.061400
T28A  -102.113600 +37.120400
T29A  -101.294200 +37.156500
